feature|observation|otype|sindiv
001419cf-07a6-4b55-96f2-7149eecdb36f|Löwenstein Bacchus III|Statement|c0fda02c-ec42-486c-9c9b-17b6b755389a
001419cf-07a6-4b55-96f2-7149eecdb36f|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa|nan
001419cf-07a6-4b55-96f2-7149eecdb36f|Bacchus|101a0b9d-2623-428b-0082-7f8347cfc3fa|nan
001419cf-07a6-4b55-96f2-7149eecdb36f|Armstrong 8.55|Statement|c3128fcd-4c60-4612-8052-62fa22ade8f8
001419cf-07a6-4b55-96f2-7149eecdb36f|human|101a0b9d-2623-428b-0002-7f8347cfc3fa|nan
001a3750-0fda-4a6b-846c-0508f1d28b96|dolphin|101a0b9d-2623-428b-0020-7f8347cfc3fa|nan
001a3750-0fda-4a6b-846c-0508f1d28b96|sea-monster|101a0b9d-2623-428b-0078-7f8347cfc3fa|nan
0094a8f9-051e-4a59-b1c7-75f6325b75cb|lion|101a0b9d-2623-428b-0031-7f8347cfc3fa|nan
0094a8f9-051e-4a59-b1c7-75f6325b75cb|Armstrong 6.33|Statement|63385135-ddf0-48f4-8dbd-0127a9aa1e34
009ca598-a974-497c-9de6-79fb21929b4a|fish|101a0b9d-2623-428b-0022-7f8347cfc3fa|nan
009ca598-a974-497c-9de6-79fb21929b4a|Armstrong 5.15|Statement|550da086-c5fd-4037-a8f8-d79c2726eda0
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|mantle|101a0b9d-2623-428b-0214-7f8347cfc3fa|nan
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|short belted tunic|101a0b9d-2623-428b-0219-7f8347cfc3fa|nan
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|boots|101a0b9d-2623-428b-0204-7f8347cfc3fa|nan
00c400ea-cc2e-46d2-bc2e-329ccbf5b3a3|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Armstrong|Statement|nan
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Löwenstein Bacchus II|Statement|1a447dd5-db3e-4c2b-8405-a842b9d9e57b
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|grapevine|101a0b9d-2623-428b-0071-7f8347cfc3fa|nan
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
0117a207-e0cf-4ab0-a23f-7c134b4a1bec|Bacchus|101a0b9d-2623-428b-0082-7f8347cfc3fa|nan
01314332-4213-4d75-ab7c-c978f5c23044|Armstrong 2.50|Statement|11cf1d2c-ca61-41c7-a1d2-d04d4f0a01ae
01314332-4213-4d75-ab7c-c978f5c23044|Atlante 13|Statement|bdf3acde-c96f-4048-819b-efdf2f1d8f95
01314332-4213-4d75-ab7c-c978f5c23044|branch|101a0b9d-2623-428b-0051-7f8347cfc3fa|nan
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|Hayes 120|Statement|nan
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|Hayes 106|Statement|nan
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|leaf-spray|8df6d8b5-832c-4e67-9feb-ce20031e9b0b|nan
017b1bf7-dd72-4d9f-b4c9-f3a35cfd7541|chevron|101a0b9d-2623-428b-0233-7f8347cfc3fa|nan
0202e9d6-100b-4a5e-805d-063b1247bd54|Armstrong 8.213|Statement|1a55434a-125f-4a26-b93b-f4989553682d
0202e9d6-100b-4a5e-805d-063b1247bd54|gourd-vine|101a0b9d-2623-428b-0056-7f8347cfc3fa|nan
0202e9d6-100b-4a5e-805d-063b1247bd54|Jonah|101a0b9d-2623-428b-0126-7f8347cfc3fa|nan
0202e9d6-100b-4a5e-805d-063b1247bd54|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
02779d29-ef0e-44b6-a65f-42704779bcc0|short-sleeved belted tunic|101a0b9d-2623-428b-0221-7f8347cfc3fa|nan
02779d29-ef0e-44b6-a65f-42704779bcc0|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
02779d29-ef0e-44b6-a65f-42704779bcc0|tunic|101a0b9d-2623-428b-0223-7f8347cfc3fa|nan
02d95d3e-8132-4e94-ac75-d10c840729a8|woman|101a0b9d-2623-428b-0004-7f8347cfc3fa|nan
02d95d3e-8132-4e94-ac75-d10c840729a8|martyr|101a0b9d-2623-428b-0129-7f8347cfc3fa|nan
02d95d3e-8132-4e94-ac75-d10c840729a8|bear|101a0b9d-2623-428b-0009-7f8347cfc3fa|nan
03151f7f-7ca2-4043-877f-e3f4d6f35c17|Armstrong 1.92/1.93|Statement|02774a07-295b-4185-95e5-454ef21ba4f7
03151f7f-7ca2-4043-877f-e3f4d6f35c17|inscription|8b2444c1-127f-4757-b4ef-dfba5f4424b1|nan
03151f7f-7ca2-4043-877f-e3f4d6f35c17|tabula ansata|101a0b9d-2623-428b-0161-7f8347cfc3fa|nan
032e10e1-6dde-4539-8aac-f6010054e9aa|Armstrong 9.9-9.10B|Statement|8abbbf61-6217-433a-9176-ba08eb819e6d
032e10e1-6dde-4539-8aac-f6010054e9aa|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
032e10e1-6dde-4539-8aac-f6010054e9aa|man|101a0b9d-2623-428b-0003-7f8347cfc3fa|nan
032e10e1-6dde-4539-8aac-f6010054e9aa|toga|101a0b9d-2623-428b-0222-7f8347cfc3fa|nan
032e10e1-6dde-4539-8aac-f6010054e9aa|arena|101a0b9d-2623-428b-0185-7f8347cfc3fa|nan
0348b150-488d-4134-9cca-f06a61850c19|wreath|c56a2f63-a6ad-4ce0-a4de-5d996f3d63b7|nan
0348b150-488d-4134-9cca-f06a61850c19|Armstrong 1.72|Statement|927c71a5-1caf-496e-8ebc-824c574176a0
0348b150-488d-4134-9cca-f06a61850c19|Atlante 32|Statement|9427cde3-2334-40c2-9a24-da6b1ec29d69
038b66d5-c9c0-4272-8232-1e238a1b2879|charioteer|101a0b9d-2623-428b-0139-7f8347cfc3fa|nan
038b66d5-c9c0-4272-8232-1e238a1b2879|hunter|101a0b9d-2623-428b-0141-7f8347cfc3fa|nan
038b66d5-c9c0-4272-8232-1e238a1b2879|chariot|101a0b9d-2623-428b-0160-7f8347cfc3fa|nan
038b66d5-c9c0-4272-8232-1e238a1b2879|horses|101a0b9d-2623-428b-0027-7f8347cfc3fa|nan
0391ff61-17b0-41a4-a36f-9b543f808e8e|Hayes 5|Statement|nan
0391ff61-17b0-41a4-a36f-9b543f808e8e|palm branch|101a0b9d-2623-428b-0065-7f8347cfc3fa|nan
03bf5dca-ef56-4d0d-9787-b97d4eefb831|hare|101a0b9d-2623-428b-0026-7f8347cfc3fa|nan
051e35ab-1dc3-4d0a-a308-065d53cfd55a|mask|101a0b9d-2623-428b-0227-7f8347cfc3fa|nan
053de06b-8d79-4110-bf62-b2632dad6b39|Armstrong 1.79|Statement|817f9747-1443-4d5a-a245-619b64f609f4
