count|potform|potformLabel|genericform|genericformLabel
141|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|acd64083-d3ab-4e1d-91d8-f2b043000001|bowl
37|c30c01b2-9c7e-45ec-833b-f734e1000019|Hayes 56|acd64083-d3ab-4e1d-91d8-f2b043000004|rectangular dish
15|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
5|ad9f1037-e6d1-4ef2-9247-e26733267bc7|Hayes 55|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
5|c30c01b2-9c7e-45ec-833b-f734e1000018|Hayes 54|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
4|c30c01b2-9c7e-45ec-833b-f734e1000015|Hayes 52B|acd64083-d3ab-4e1d-91d8-f2b043000001|bowl
3|ded050c0-a1cb-4ef6-bac4-e722ae4d1000|Hayes 48B|acd64083-d3ab-4e1d-91d8-f2b043000000|plate
3|debeac24-ebc3-430d-9317-0b508e83f15c|Hayes 104|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
2|07f3341c-e107-4dbc-9d57-680fa00a2bcf|Hayes 82|acd64083-d3ab-4e1d-91d8-f2b043000000|plate
2|c30c01b2-9c7e-45ec-833b-f734e1000017|Hayes 51|acd64083-d3ab-4e1d-91d8-f2b043000001|bowl
2|f7b36c24-9a27-4b27-8b1f-5f82df341913|Hayes 61|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
2|d1f8494d-cc34-428e-a303-7b750b9b7694|Atlante VIII A2a|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
1|83432cba-4b2f-4111-ad77-c0cf28e53ae4|Hayes 67|acd64083-d3ab-4e1d-91d8-f2b043000001|bowl
1|46a90c86-23e3-4ea8-abb0-11acefbfd35e|Hayes 172|acd64083-d3ab-4e1d-91d8-f2b043000002|jug
1|6ffc57d6-f6a2-417a-b4e1-4683c0c4723e|Hayes 174|acd64083-d3ab-4e1d-91d8-f2b043000002|jug
1|1fd3f5da-8d4b-4d68-8a7e-e61963a88a14|Hayes 58B|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
1|9db8aeba-e99c-4f7d-9145-011ef086c5e3|Hayes 1|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
1|a4d7e016-cc74-4400-a2a6-e1688f5f4300|Hayes 75|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
1|c0346f71-8ef7-4dab-a4a8-1e222e1ff17a|Hayes 51B|acd64083-d3ab-4e1d-91d8-f2b043000003|dish
1|aa88339c-da85-47aa-af08-fe6dd093e468|Atlante X A1c|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
1|e1f70788-a3b9-40ec-9039-c5091d18f6f8|Atlante VIII A1b|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
1|ea77afcb-b013-4b9d-8dab-14d30b511adb|Atlante X A1b|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
1|fbfa4b8d-1ef3-4d7b-b6a4-fc86fc6e721a|Atlante X B1a|acd64083-d3ab-4e1d-91d8-f2b043000012|lamp
