id|page|feature|wc
Armstrong 8.101|191|4d7d72a9-0ab9-40be-b82b-be8bd8b7f6c0|Löwenstein_N_FT_I_Victoria.png
Armstrong 8.102|191|4d7d72a9-0ab9-40be-b82b-be8bd8b7f6c0|Löwenstein_N_FT_I_Victoria.png
Armstrong 8.103|191|4d7d72a9-0ab9-40be-b82b-be8bd8b7f6c0|Löwenstein_N_FT_I_Victoria.png
Armstrong 8.99|190|d2b5b480-c312-4bc4-960c-25f55a576462|Löwenstein_N_FT_II_Victoria.png
Armstrong 8.100|191|4e028994-bf8d-4060-b3ba-fe1c59a8ea39|Löwenstein_N_FT_III_Victoria.png
Armstrong 8.110|193|ad96d542-f1a2-4ac5-97bb-8287a7f736b2|Löwenstein_B_FT_I.png
Armstrong 8.105|192|1fb35385-02b6-4535-a1a3-a03c06689847|Löwenstein_B_FT_II.png
Armstrong 8.109|193|7a6dfb94-c3ca-45a9-b6e1-5d021ee743fd|Löwenstein_B_FT_III.png
Armstrong 8.111|193|51c41bba-6441-42f7-9794-66cad6ce45bf|Löwenstein_B_FT_IV.png
Armstrong 8.108|193|dd4e0950-8d23-4786-8a8f-0a4efda83595|Löwenstein_B_FT_VII.png
Armstrong 8.113|194|605ca89b-82b7-42e3-9d65-7bc78dea6d7f|Löwenstein_B_FT_VIII.png
Armstrong 8.112|194|f7f725d7-afd2-4ec4-a5d6-e2fe96f30df5|Löwenstein_B_FT_IX.png
Armstrong 8.107|192|.|.
Armstrong 8.107A|192|.|.
Armstrong 8.106|192|.|.
Armstrong 8.115|194|.|.
